id,place,rocks,            latitude,longitude
76,Cuba,"Nickel ore, Tonalite, Diorite, Gabbroid, Peridotite, Pyroxenite, Hornblendite, Basalt, Dolerite, Ophiolite, Porphyry, Tuffite, Pegmatite, Sandstone, Mudstone, Pisolite, Limestone, Radiolarite, Tectonite, Jade, Zoisitite, Blueschist, Amphibolite, Gneiss, Schist, Laterite",23.0131338,-80.8328748
77,Curaçao,"Basalt, Dolerite",12.1176488,-68.9309263
78,Cyprus,"Peridotite, Pyroxenite, Pillow lava, Ophiolite, Jasper, Tectonite",34.9174159,32.889027
79,Czech Republic,"Granitoid, Syenite, Monzonite, Monzodiorite, Quartz-diorite, Diorite, Monzogabbro, Gabbro, Sodalite-syenite, Nepheline-syenite, Peridotite, Pyroxenite, Hornblendite, Aplite, Andesite-basalt, Trachyandesite, Trachybasalt, Trachyte, Phonolite, Tephritic-phonolite, Leucitite, Nephelinite, Hauynite, Basaltoid, Basanite, Tephrite, Amygdaloid, Augitite, Melaphyre, Dolerite, Porphyry, Carbonatite, Melilitolite, Melilitite, Lamproite, Lamprophyre, Cumulate, Pyroclastic sediment, Agglomerate, Tuff, Tuff-breccia, Tuffite, Volcanic breccia, Pegmatite, Gravel, Sand, Sandstone, Shale, Claystone, Siltstone, Petrified Wood, Pisolite, Carbonate rock, Phosphorite, Coal, Diatomite, Porcellanite, H5 chondrite meteorite, H6 chondrite meteorite, Iron meteorite",49.7439047,15.3381061
80,Czechoslovakia,"Granitoid, Syenite, Monzonite, Monzodiorite, Quartz-diorite, Diorite, Monzogabbro, Gabbro, Sodalite-syenite, Nepheline-syenite, Peridotite, Pyroxenite, Hornblendite, Aplite, Andesite-basalt, Trachyandesite, Trachybasalt, Trachyte, Phonolite, Tephritic-phonolite, Leucitite, Nephelinite, Haüynite, Basaltoid, Augitite, Melaphyre, Dolerite, Ophiolite, Porphyry, Carbonatite, Melilitolite, Lamproite, Lamprophyre, Cumulate, Pyroclastic sediment, Tuff, Tuff-breccia, Tuffite, Volcanic breccia, Pegmatite, Gravel, Sandstone, Mudstone, Oolite, Petrified Wood, Pisolite, Limestone, Dolostone, Phosphorite, Ironstone, Coal, Diatomite, Metamorphic rock, H5 chondrite meteorite, H6 chondrite meteorite, L3 chondrite meteorite, L5 chondrite meteorite, L6 chondrite meteorite, Iron meteorite",48.257918,14.5007688
81,Dead Sea,"Nickel ore, Tonalite, Diorite, Gabbroid, Peridotite, Pyroxenite, Hornblendite, Basalt, Dolerite, Ophiolite, Porphyry, Tuffite, Pegmatite, Sandstone, Mudstone, Pisolite, Limestone, Radiolarite, Tectonite, Jade, Zoisitite, Blueschist, Amphibolite, Gneiss, Schist, Laterite",31.5414738,35.4787059
82,Denmark,"Granite, Aplite, Trachybasalt, Basalt, Sandstone, Petrified Wood, Diatomite",55.670249,10.3333283
83,Djibouti,Rhyolite,11.8145966,42.8453061
84,Dominica,"Nickel ore, Tonalite, Diorite, Gabbroid, Peridotite, Pyroxenite, Hornblendite, Basalt, Dolerite, Ophiolite, Porphyry, Tuffite, Pegmatite, Sandstone, Mudstone, Pisolite, Limestone, Radiolarite, Tectonite, Jade, Zoisitite, Blueschist, Amphibolite, Gneiss, Schist, Laterite",15.4113138,-61.3653618
85,Dominican Republic,"Basaltoid, Dolerite, Ophiolite, Glassy igneous rock, Pyroclastic-rock, Volcanic breccia, Ironstone, Eclogite, Blueschist, Amphibolite, Schist, Laterite, Duricrust",19.0974031,-70.3028026
86,DR Congo,"Granitoid, Quartz-syenite, Syenite, Nepheline-syenite, Cancrinite-syenite, Aplite, Trachyte, Leucitite, Nephelinite, Basalt, Dolerite, Porphyry, Carbonatite, Kimberlite, Tuffite, Pegmatite, Conglomerate, Sandstone, Mudstone, Limestone, Dolostone, Phosphorite, Siliceous-rock, Metadolerite, Metagabbro, Metasedimentary rock, Gneiss, Schist, Epidosite, Breccia, Laterite",-2.9814344,23.8222636
87,Earth,"Nickel ore, Tonalite, Diorite, Gabbroid, Peridotite, Pyroxenite, Hornblendite, Basalt, Dolerite, Ophiolite, Porphyry, Tuffite, Pegmatite, Sandstone, Mudstone, Pisolite, Limestone, Radiolarite, Tectonite, Jade, Zoisitite, Blueschist, Amphibolite, Gneiss, Schist, Laterite",34.2331373,-102.4107049
88,East Timor,"Mafic rock, Peridotite, Hornblendite, Dolerite, Ophiolite, Sandstone, Shale, Schist",-8.7443169,126.063482
89,Easter Plate,"Nickel ore, Tonalite, Diorite, Gabbroid, Peridotite, Pyroxenite, Hornblendite, Basalt, Dolerite, Ophiolite, Porphyry, Tuffite, Pegmatite, Sandstone, Mudstone, Pisolite, Limestone, Radiolarite, Tectonite, Jade, Zoisitite, Blueschist, Amphibolite, Gneiss, Schist, Laterite",-27.11441,-109.42527
